ep,loss,ret_start,steps_mean,succ_stab,succ_speed,succ_both,abs_err_mean,vy_lo_raw_mean,f_in_mean,stance_time_mean,flight_time_mean,l_min_mean,step_length_mean,E_apex_end_mean,reasons_top
422,-12.02023278872172,-0.4872140889366468,6.833333333333333,0.0,0.0,0.0,2.8754545057797243,1.6516773115568362,580.8625821764065,0.14719579930418175,0.1816170514942575,0.8757944372388913,0.7993346372201362,1079.459760820256,"no_apex_potential:29, fall_before_apex:1"
423,-11.260240515073141,-0.48998025953769686,7.2,0.0,0.0,0.0,2.788760451060694,1.6465301857612795,578.239502993664,0.15117750481000494,0.18907158970658988,0.8750677666305082,0.8083144404850208,1071.9597089671663,no_apex_potential:30
424,-11.90173184076945,-0.47895712554454806,7.133333333333334,0.0,0.0,0.0,2.817223054880044,1.619354800533491,582.7161522003712,0.1484100824175825,0.18373473359973372,0.8771493845874655,0.8064868012370828,1075.476721624692,no_apex_potential:30
425,-10.338865955173969,-0.4534312794605891,6.633333333333334,0.0,0.03333333333333333,0.0,2.6679260442434836,1.6667010164398106,587.1361083713596,0.14983363516113526,0.18764813612313622,0.8759569576580802,0.8409852022338128,1071.6818521275893,"no_apex_potential:29, fall_before_apex:1"
426,-10.668483315159877,-0.34924790809551876,6.5,0.0,0.1,0.0,2.495528293077337,1.6088666205031261,587.5308439358764,0.14849426952676964,0.17594813936063947,0.8791294900021448,0.8444743389605512,1084.4367311148492,"no_apex_potential:29, fall_before_apex:1"
427,-9.086015543589989,-0.34178115328152975,6.3,0.0,0.13333333333333333,0.0,2.706128107210421,1.5041864757188779,575.248076061727,0.1488815109890111,0.17114711538461547,0.8803693950375983,0.7783438098234963,1088.1423198999294,no_apex_potential:30
428,-10.964902091771364,-0.25997684731458626,8.4,0.06666666666666667,0.16666666666666666,0.06666666666666667,2.163140274097206,1.5268616638265469,570.5294641211293,0.14985828686019875,0.16873919892199316,0.8850164964840754,0.8628358156985636,1084.5111736207443,"no_apex_potential:28, success:2"
429,-11.019641732486585,-0.4592916160821915,7.2,0.03333333333333333,0.06666666666666667,0.03333333333333333,2.803818710056042,1.601857787813313,578.982841162913,0.14838850048100058,0.18057868566618576,0.8777257517126317,0.7863636252836287,1076.4218217179287,"no_apex_potential:28, success:1, fall_before_apex:1"
430,-7.886755728224913,-0.16225844671328862,6.5,0.0,0.3333333333333333,0.0,2.0116318598843006,1.2559985056323328,524.4105973823871,0.14179677489177497,0.1394796645021646,0.8987882763326573,0.7688983436289819,1091.8545877843387,"no_apex_potential:28, fall_before_apex:2"
431,-9.99614582558473,-0.22140258587896824,7.166666666666667,0.0,0.26666666666666666,0.0,2.111628599763824,1.3415481720189497,543.2127334719534,0.14539769952269965,0.1465067352092353,0.8930281779624534,0.7949705066978016,1098.8261402147698,no_apex_potential:30
432,-9.550580851361156,-0.3659578780333201,5.966666666666667,0.0,0.1,0.0,2.657373067145707,1.5882249527861005,588.1780417482959,0.15047089947089956,0.1794402777777779,0.8784529560578543,0.7927178345011117,1075.4494395796678,"no_apex_potential:29, fall_before_apex:1"
433,-12.168129236002763,-0.4231769323348999,7.7,0.0,0.06666666666666667,0.0,2.5094370715292937,1.5973691270966364,569.4224969676944,0.14619116582491595,0.174881403920154,0.8821130279260802,0.8218504074057029,1067.5702890754253,"no_apex_potential:26, fall_before_apex:4"
434,-10.557257981598378,-0.2766446602841218,6.866666666666666,0.0,0.2,0.0,2.320662648194563,1.491853527392182,578.3144839530556,0.14757744708994722,0.16362115079365092,0.8853300147290073,0.8287140828711157,1092.2219059198258,no_apex_potential:30
435,-11.734110776335001,-0.4136001442869504,8.366666666666667,0.0,0.13333333333333333,0.0,2.169974871885776,1.4586948077151705,562.7081880649475,0.14644247109901917,0.1620322735868364,0.8892523308863026,0.8533256390659198,1087.0138795544892,no_apex_potential:30
436,-9.689379637936751,-0.31075703526536624,6.4,0.0,0.13333333333333333,0.0,2.490543849557707,1.4978220910007478,582.2623496813881,0.14684026996152003,0.1662339622414623,0.8846697537222621,0.7907716702146133,1086.4086531165347,"no_apex_potential:29, fall_before_apex:1"
437,-9.74279890457789,-0.45621708668768407,6.8,0.0,0.06666666666666667,0.0,2.642193583207872,1.6067923492133527,583.0220637749356,0.1500640735190736,0.18349174344174354,0.8781262848546441,0.826802112826222,1072.4288165494277,"no_apex_potential:29, fall_before_apex:1"
438,-9.141278037428856,-0.2471532678231597,6.5,0.0,0.2,0.0,2.3928200833312716,1.4296926394403016,547.9096755624392,0.1493572271029625,0.1640740077950373,0.8861114605584235,0.7735595679094522,1079.8746097993428,no_apex_potential:30
